dataset,algorithm,param,value,n_clusters,silhouette,db_index
Circles,kmeans,n_clusters,2,2,0.34489582460044765,1.204879665780143
Circles,kmeans,n_clusters,3,3,0.38851379436027805,0.8345334174558164
Circles,kmeans,n_clusters,4,4,0.37013225745675443,0.8159496153518929
