dataset,algorithm,param,value,n_clusters,silhouette,db_index,ari,nmi
Wine,gmm,covariance_type,diag,3,0.28063956408299895,1.416117027450109,0.8635987920128989,0.8472896471857926
Wine,gmm,covariance_type,full,3,0.2848589191898987,1.3891879777181648,0.8974949815093207,0.8758935341223069
