dataset,algorithm,param,value,n_clusters,silhouette,db_index,ari,nmi
Wine,dbscan,eps,0.3,0,,,0.0,0.0
Wine,dbscan,eps,0.5,0,,,0.0,0.0
Wine,dbscan,eps,0.7,0,,,0.0,0.0
