dataset,algorithm,param,value,n_clusters,silhouette,db_index,ari,nmi
Car,gmm,covariance_type,diag,2,0.13141732814972085,2.5114257066885903,0.017045525394230866,0.05254856980891844
Car,gmm,covariance_type,full,2,0.13141732814972085,2.5114257066885903,0.017045525394230866,0.05254856980891844
