dataset,algorithm,param,value,n_clusters,silhouette,db_index,ari,nmi
Car,spectral,n_neighbors,10,2,0.11657511495603455,2.6857675347455157,0.023201118626024468,0.07967081062029313
Car,spectral,n_neighbors,20,2,0.1249162832030681,2.5500527605361674,0.11028293308160013,0.0525925240786059
Car,spectral,n_neighbors,30,2,0.1314173281497211,2.5114257066885775,0.022607777409363396,0.07871280112190372
