dataset,algorithm,param,value,n_clusters,silhouette,db_index
Car,dbscan,eps,0.5,0,,
Car,dbscan,eps,0.7,0,,
Car,dbscan,eps,1.0,27,0.12042266900693062,2.7344842768942565
