dataset,algorithm,param,value,n_clusters,silhouette,db_index,ari,nmi
Heart,spectral,n_neighbors,10,2,0.15701313042717033,2.2209485156795887,0.39438843146495306,0.30654527749073357
Heart,spectral,n_neighbors,20,2,0.16311120901819937,2.15452564181275,0.4561581191345156,0.36161110217010783
Heart,spectral,n_neighbors,30,2,0.1662199562754337,2.127717210984586,0.4380284176748857,0.34965466651328775
