dataset,algorithm,param,value,n_clusters,silhouette,db_index,ari,nmi
Heart,kmeans,n_clusters,2,2,0.17511353215805028,2.0792358619956666,0.4379944036207641,0.3594073317397614
Heart,kmeans,n_clusters,3,3,0.12833091078751907,2.265148129286074,0.27648264095708064,0.2703366973846398
Heart,kmeans,n_clusters,4,4,0.10398095700197925,2.5044310406465806,0.22539474026890596,0.2509168713381912
